first_name,last_name,gender,Age_category,past_3_years_bike_related_purchases_categories,cluster,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation
Kort,Disley,Male,35-44,61-70,Cat_1,Technical Writer,Health,Mass Customer,N,Yes,7,2160,NSW,9
Tobiah,Heinsius,Male,18-24,61-70,Cat_1,Chief Design Engineer,Health,High Net Worth,N,No,9,2446,NSW,8
Wallace,Newart,Male,45-54,Above 90,Cat_2,Business Systems Development Analyst,IT,Mass Customer,N,No,17,4650,QLD,1
Hersh,Stubbert,Male,18-24,Below 10,Cat_2,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,4115,QLD,8
Wyn,Saynor,Male,55-64,51-60,Cat_1,Cost Accountant,Financial Services,High Net Worth,N,No,8,2099,NSW,9
Maribeth,Stivani,Female,Above 64,41-50,Cat_1,Associate Professor,Financial Services,Mass Customer,N,No,7,2430,NSW,8
Abigale,Sives,Female,55-64,41-50,Cat_2,VP Marketing,Health,Affluent Customer,N,Yes,14,4207,QLD,4
Gothart,Artus,Male,35-44,51-60,Cat_1,Health Coach IV,Health,Mass Customer,N,Yes,14,2117,NSW,10
Danny,Bodle,Male,Above 64,41-50,Cat_1,Statistician I,Manufacturing,Mass Customer,N,Yes,18,2007,NSW,9
Vittorio,Boxen,Male,55-64,Above 90,Cat_1,Mechanical Systems Engineer,Retail,Mass Customer,N,No,14,2148,NSW,9
Deborah,Petrovsky,Female,Above 64,51-60,Cat_1,Teacher,Property,Mass Customer,N,No,16,2011,NSW,7
Agace,Hedge,Female,25-34,21-30,Cat_2,Media Manager II,Financial Services,Mass Customer,N,Yes,13,3429,VIC,8
Rolland,Esmead,Male,Above 64,41-50,Cat_1,Social Worker,Health,Affluent Customer,N,No,8,2200,NSW,8
Latrena,Walklate,Female,Above 64,Above 90,Cat_1,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,2281,NSW,8
Mariquilla,Springthorpe,Female,Above 64,21-30,Cat_1,Director of Sales,Financial Services,Mass Customer,N,Yes,8,2224,NSW,10
Leticia,Danovich,Female,Above 64,81-90,Cat_2,Design Engineer,Entertainment,Mass Customer,N,Yes,15,4307,QLD,1
Harman,Lynds,Male,55-64,Below 10,Cat_2,Professor,Financial Services,Mass Customer,N,Yes,5,4105,QLD,8
Farra,Matyushkin,Female,45-54,11-20,Cat_2,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,3170,VIC,9
Robenia,Monks,Female,55-64,Above 90,Cat_2,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,4065,QLD,9
Roman,Eastwood,Male,45-54,51-60,Cat_1,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,3004,VIC,4
Solomon,Bruck,Male,Above 64,21-30,Cat_2,Junior Executive,Health,Mass Customer,N,No,12,4556,QLD,8
Krystyna,Airey,Female,Above 64,Below 10,Cat_2,Safety Technician II,Financial Services,Mass Customer,N,Yes,19,4006,QLD,5
Katharine,Redbourn,Female,55-64,Below 10,Cat_2,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,3134,VIC,10
Cammy,Stoneham,Female,55-64,71-80,Cat_2,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,4680,QLD,3
Ellsworth,Andrieux,Male,45-54,41-50,Cat_2,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,4036,QLD,7
Federico,Leuty,Male,35-44,51-60,Cat_1,Product Engineer,Property,High Net Worth,N,Yes,11,2380,NSW,4
Ferdy,Hornung,Male,45-54,51-60,Cat_2,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,4506,QLD,3
Sunny,Christescu,Female,45-54,81-90,Cat_1,Cost Accountant,Financial Services,Mass Customer,N,No,11,2209,NSW,10
Shadow,Yakutin,Male,55-64,81-90,Cat_2,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,4119,QLD,2
Sharai,Priddie,Female,55-64,11-20,Cat_1,Sales Representative,Retail,Mass Customer,N,No,9,2145,NSW,9
Celeste,Fretson,Female,35-44,Above 90,Cat_1,Product Engineer,IT,Mass Customer,N,No,9,2166,NSW,9
Lea,Ilyinski,Female,25-34,71-80,Cat_1,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,2026,NSW,12
Dyann,Olechnowicz,Female,Above 64,11-20,Cat_2,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,3031,VIC,10
Delly,Sunman,Female,55-64,41-50,Cat_2,Account Coordinator,Retail,Mass Customer,N,No,15,3206,VIC,12
Malvin,Ryhorovich,Male,55-64,31-40,Cat_2,Quality Control Specialist,Manufacturing,Mass Customer,N,No,5,4818,QLD,3
Tanya,Hamberston,Female,18-24,41-50,Cat_2,Product Engineer,Manufacturing,Mass Customer,N,Yes,9,4113,QLD,6
Kaela,Romaines,Female,45-54,41-50,Cat_1,Geological Engineer,Manufacturing,High Net Worth,N,No,19,2155,NSW,10
Evonne,Bembridge,Female,45-54,Below 10,Cat_2,Recruiting Manager,Retail,Mass Customer,N,Yes,14,3103,VIC,9
Shannen,Lewin,Female,25-34,21-30,Cat_2,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,4210,QLD,6
Bogey,Attew,Male,25-34,81-90,Cat_2,Software Engineer II,IT,Mass Customer,N,Yes,10,4165,QLD,9
Zondra,Ringham,Female,Above 64,31-40,Cat_2,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,4510,QLD,5
Barnebas,Apfel,Male,25-34,51-60,Cat_1,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,4000,QLD,6
Gerri,Schimann,Female,45-54,81-90,Cat_1,Desktop Support Technician,Property,Mass Customer,N,Yes,18,2566,NSW,8
Antonietta,Egle,Female,45-54,81-90,Cat_2,Actuary,Financial Services,Mass Customer,N,No,7,3805,VIC,7
Raff,Waycott,Male,Above 64,61-70,Cat_2,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,3977,VIC,7
Lark,Gonet,Female,45-54,81-90,Cat_1,Database Administrator II,Health,High Net Worth,N,No,8,2763,NSW,8
Cletis,Longley,Male,25-34,81-90,Cat_1,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,3199,VIC,7
Bartram,Di Lucia,Male,55-64,61-70,Cat_1,Executive Secretary,Argiculture,Mass Customer,N,Yes,5,2480,NSW,3
Theresa,Cowper,Female,45-54,Above 90,Cat_1,Accountant III,Manufacturing,Mass Customer,N,No,3,2529,NSW,10
Philbert,Raraty,Male,Above 64,41-50,Cat_1,Executive Secretary,Manufacturing,Mass Customer,N,No,6,2177,NSW,9
Egon,Ortells,Male,45-54,31-40,Cat_1,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,2168,NSW,9
Dahlia,Shovlar,Female,55-64,81-90,Cat_2,Environmental Specialist,Manufacturing,Affluent Customer,N,Yes,7,3976,VIC,3
Timi,Duny,Female,Above 64,61-70,Cat_1,Office Assistant II,Telecommunications,High Net Worth,N,No,6,2092,NSW,12
Dominick,Asher,Male,55-64,41-50,Cat_2,Research Associate,Health,Affluent Customer,N,Yes,5,3804,VIC,9
Raye,Roo,Female,45-54,61-70,Cat_2,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,3046,VIC,9
Becka,Hacon,Female,55-64,81-90,Cat_2,General Manager,Financial Services,Affluent Customer,N,No,17,3791,VIC,9
Cirillo,Frossell,Male,45-54,Below 10,Cat_1,Graphic Designer,Financial Services,Mass Customer,N,No,6,2111,NSW,12
Verla,Dumingos,Female,45-54,21-30,Cat_2,Design Engineer,Telecommunications,Mass Customer,N,Yes,10,3021,VIC,8
Sherrie,Godleman,Female,35-44,31-40,Cat_2,Associate Professor,Manufacturing,Mass Customer,N,No,19,3350,VIC,2
Dexter,Shutle,Male,55-64,81-90,Cat_2,Quality Control Specialist,Manufacturing,Mass Customer,N,No,17,4005,QLD,7
Konstanze,Hovie,Female,55-64,81-90,Cat_2,Pharmacist,Health,Mass Customer,N,No,11,4370,QLD,7
Bink,Bentje,Male,Above 64,Below 10,Cat_1,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,2680,NSW,3
Taber,Szymon,Male,Above 64,61-70,Cat_2,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,4659,QLD,8
Debbi,Dannatt,Female,55-64,Below 10,Cat_2,Technical Writer,Manufacturing,Affluent Customer,N,No,6,4218,QLD,10
Giana,Staresmeare,Female,45-54,Above 90,Cat_1,Account Representative IV,Retail,Affluent Customer,N,Yes,9,2770,NSW,7
Morton,Petkens,Male,25-34,41-50,Cat_2,Account Coordinator,Manufacturing,High Net Worth,N,Yes,10,3012,VIC,1
Vittoria,Whitney,Female,35-44,Above 90,Cat_1,Research Assistant I,Manufacturing,High Net Worth,N,No,12,2019,NSW,11
Paquito,Atwood,Male,45-54,11-20,Cat_2,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,9,3199,VIC,8
Dimitri,Tribbeck,Male,55-64,81-90,Cat_2,Chief Design Engineer,Manufacturing,Affluent Customer,N,No,20,3165,VIC,6
Shelli,Bartholomaus,Female,55-64,81-90,Cat_2,Associate Professor,Health,Mass Customer,N,Yes,6,3082,VIC,7
Kermit,Lebond,Male,35-44,31-40,Cat_2,Financial Advisor,Financial Services,Mass Customer,N,No,4,4208,QLD,8
Biddie,Gorce,Female,35-44,61-70,Cat_1,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,5,2795,NSW,7
Rupert,Marrow,Male,45-54,71-80,Cat_1,Account Coordinator,Property,High Net Worth,N,No,19,2760,NSW,8
Geoff,Sitford,Male,55-64,Above 90,Cat_1,Account Executive,Financial Services,Mass Customer,N,Yes,4,2148,NSW,8
Ange,Chitham,Female,25-34,Above 90,Cat_1,Executive Secretary,Argiculture,Mass Customer,N,No,10,2560,NSW,8
Tiphanie,Blackader,Female,Above 64,51-60,Cat_1,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,2007,NSW,11
Zollie,Crinidge,Male,35-44,31-40,Cat_2,Systems Administrator I,Retail,Mass Customer,N,Yes,10,4019,QLD,5
Daisy,Pollen,Female,25-34,Above 90,Cat_2,Cost Accountant,Financial Services,Mass Customer,N,No,7,3167,VIC,9
Emelen,Bidnall,Male,35-44,71-80,Cat_1,Systems Administrator IV,Health,Affluent Customer,N,Yes,11,2026,NSW,12
Linette,Boman,Female,Above 64,51-60,Cat_1,Account Executive,Manufacturing,Affluent Customer,N,No,11,2076,NSW,11
Manya,Abramovici,Female,Above 64,41-50,Cat_2,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,4214,QLD,8
Brynna,Tivers,Female,45-54,81-90,Cat_2,Recruiting Manager,Financial Services,Mass Customer,N,No,6,4272,QLD,7
Art,Carolan,Male,Above 64,Below 10,Cat_1,Marketing Manager,Retail,Affluent Customer,N,Yes,11,2570,NSW,9
Alfi,Sabbins,Female,55-64,61-70,Cat_1,Cost Accountant,Financial Services,High Net Worth,N,Yes,18,2344,NSW,3
Loleta,Aberdalgy,Female,35-44,41-50,Cat_1,Occupational Therapist,Health,Mass Customer,N,No,11,2287,NSW,6
Aldric,Birney,Male,45-54,21-30,Cat_1,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,14,2546,NSW,6
Natividad,Balducci,Female,25-34,31-40,Cat_2,Account Coordinator,Property,High Net Worth,N,Yes,10,3206,VIC,11
Claudine,Dymick,Female,55-64,21-30,Cat_2,Design Engineer,Health,Mass Customer,N,No,5,3977,VIC,5
Seamus,Cains,Male,25-34,61-70,Cat_1,Teacher,Manufacturing,High Net Worth,N,No,7,2305,NSW,8
Guss,Karim,Male,45-54,Above 90,Cat_1,Senior Sales Associate,Manufacturing,Mass Customer,N,No,7,2227,NSW,11
Julietta,Setchfield,Female,25-34,71-80,Cat_2,Operator,Manufacturing,High Net Worth,N,Yes,3,4170,QLD,8
Roch,Symson,Female,35-44,Above 90,Cat_2,Office Assistant I,Manufacturing,High Net Worth,N,No,18,3073,VIC,9
Audry,Fann,Female,Above 64,Below 10,Cat_2,Pharmacist,Health,Mass Customer,N,Yes,15,3029,VIC,6
Cecelia,Cisar,Female,35-44,11-20,Cat_2,Account Coordinator,Property,Mass Customer,N,Yes,15,4212,QLD,7
Clari,Voas,Female,Above 64,71-80,Cat_1,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,2127,NSW,8
Zach,Hedman,Male,35-44,81-90,Cat_1,Analyst Programmer,Financial Services,Affluent Customer,N,Yes,4,2566,NSW,9
Paxon,Roomes,Male,45-54,71-80,Cat_2,Information Systems Manager,Health,High Net Worth,N,Yes,7,3021,VIC,7
Parnell,Lamprey,Male,45-54,21-30,Cat_1,Engineer III,Financial Services,High Net Worth,N,No,12,2165,NSW,6
Honey,Gosdin,Female,35-44,Below 10,Cat_1,Software Engineer I,Property,Mass Customer,N,No,17,2582,NSW,9
Sonny,McCart,Male,25-34,31-40,Cat_2,Account Representative I,Manufacturing,High Net Worth,N,No,9,3020,VIC,9
Deirdre,Burgoine,Female,Above 64,11-20,Cat_1,Programmer III,Health,High Net Worth,N,No,7,3000,VIC,1
Haleigh,,Female,Above 64,11-20,Cat_2,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,4503,QLD,4
Aldridge,Poskitt,Male,35-44,81-90,Cat_2,VP Sales,Financial Services,Mass Customer,N,No,12,4161,QLD,5
Zechariah,McReidy,Male,35-44,31-40,Cat_2,Technical Writer,Manufacturing,High Net Worth,N,No,21,4207,QLD,6
Carry,Costi,Female,45-54,31-40,Cat_1,Senior Developer,Property,Mass Customer,N,No,11,2800,NSW,4
Alon,,Male,18-24,11-20,Cat_2,Accountant IV,Manufacturing,Affluent Customer,N,No,9,4218,QLD,3
Ahmed,Pickthorne,Male,55-64,41-50,Cat_1,Marketing Manager,Retail,High Net Worth,N,Yes,15,2147,NSW,9
Nil,Shirer,Male,25-34,61-70,Cat_2,Librarian,Entertainment,Mass Customer,N,Yes,7,3013,VIC,8
Erhard,O'Moylane,Male,35-44,31-40,Cat_2,Media Manager I,Retail,Affluent Customer,N,Yes,9,3630,VIC,2
Vitia,Axtens,Female,Above 64,61-70,Cat_1,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,2011,NSW,10
Haskell,Moxted,Male,Above 64,81-90,Cat_1,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2145,NSW,9
Ebony,Conrad,Female,18-24,Below 10,Cat_2,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,3029,VIC,7
Lincoln,Boler,Male,45-54,51-60,Cat_2,Chief Design Engineer,Manufacturing,Affluent Customer,N,No,14,3207,VIC,8
Vladimir,Westmerland,Male,Above 64,11-20,Cat_1,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,18,2640,NSW,4
Kylynn,Drowsfield,Female,45-54,71-80,Cat_2,Editor,Manufacturing,High Net Worth,N,Yes,7,3059,VIC,9
Nicole,Ruckhard,Female,45-54,Above 90,Cat_2,Human Resources Manager,Health,Affluent Customer,N,Yes,17,4560,QLD,3
Celestina,Lethardy,Female,45-54,31-40,Cat_2,Software Consultant,IT,Mass Customer,N,Yes,11,3163,VIC,10
Tannie,Petrakov,Male,Above 64,81-90,Cat_2,Data Coordiator,IT,Affluent Customer,N,No,10,4078,QLD,6
Bessy,Saladin,Female,Above 64,21-30,Cat_2,VP Marketing,Manufacturing,Mass Customer,N,Yes,16,4075,QLD,10
Diego,Van den Broek,Male,55-64,11-20,Cat_2,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,Yes,13,4055,QLD,7
Lucilia,Minshall,Female,Above 64,71-80,Cat_1,Business Systems Development Analyst,IT,Mass Customer,N,Yes,7,2750,NSW,8
Cissiee,Pollington,Female,Above 64,41-50,Cat_1,Associate Professor,Property,Mass Customer,N,Yes,7,2256,NSW,9
Eddy,Sturch,Male,55-64,21-30,Cat_2,Software Consultant,Financial Services,High Net Worth,N,Yes,17,4158,QLD,6
Caron,Kezar,Female,Above 64,11-20,Cat_1,Social Worker,Health,Mass Customer,N,No,5,2835,NSW,1
Sandor,Stirland,Male,35-44,61-70,Cat_2,Web Developer IV,Manufacturing,High Net Worth,N,No,12,3235,VIC,10
Gallagher,Bromell,Male,Above 64,11-20,Cat_2,Assistant Manager,Retail,Mass Customer,N,No,17,4556,QLD,8
Murial,Bulloch,Female,55-64,51-60,Cat_1,Cost Accountant,Financial Services,Mass Customer,N,No,13,2011,NSW,6
Delinda,Ech,Female,Above 64,71-80,Cat_2,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,3101,VIC,10
Hussein,Tapenden,Male,Above 64,11-20,Cat_1,Pharmacist,Health,Affluent Customer,N,Yes,12,2747,NSW,8
Giulietta,Garbott,Female,18-24,51-60,Cat_2,Technical Writer,Manufacturing,Affluent Customer,N,Yes,14,3810,VIC,5
Kaylyn,Jakaway,Female,35-44,41-50,Cat_1,Registered Nurse,Health,Affluent Customer,N,No,10,2290,NSW,8
Brynn,Goodyear,Female,Above 64,21-30,Cat_2,Human Resources Manager,Health,Mass Customer,N,Yes,11,3075,VIC,7
Otis,,Male,45-54,51-60,Cat_1,Electrical Engineer,Manufacturing,Affluent Customer,N,No,12,2075,NSW,11
Pace,Clemonts,Male,25-34,Above 90,Cat_2,Media Manager IV,Retail,High Net Worth,N,No,10,3122,VIC,7
Muffin,Grigolon,Male,35-44,Below 10,Cat_1,Senior Editor,Telecommunications,Mass Customer,N,No,12,2232,NSW,10
Allsun,Biner,Female,25-34,61-70,Cat_1,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,2641,NSW,2
Kenneth,Elleyne,Male,Above 64,11-20,Cat_2,Technical Writer,Financial Services,Mass Customer,N,No,13,3145,VIC,11
Clotilda,Southers,Female,18-24,61-70,Cat_1,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,2323,NSW,4
Augustus,Bourley,Male,35-44,51-60,Cat_2,Social Worker,Health,Affluent Customer,N,No,18,4152,QLD,10
Daisi,Tinwell,Female,45-54,81-90,Cat_1,Business Systems Development Analyst,Financial Services,Mass Customer,N,No,11,2777,NSW,8
Gerik,Woodroof,Male,55-64,11-20,Cat_2,Paralegal,Financial Services,High Net Worth,N,Yes,9,3175,VIC,7
Claresta,MacConnulty,Female,Above 64,Below 10,Cat_1,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,20,2026,NSW,9
Arty,Fontelles,Male,25-34,41-50,Cat_2,Help Desk Technician,IT,High Net Worth,N,No,4,3197,VIC,4
Giulia,Hazart,Female,35-44,51-60,Cat_2,Help Desk Technician,Manufacturing,Mass Customer,N,No,11,4218,QLD,11
Whit,Emloch,Male,55-64,21-30,Cat_1,Food Chemist,Health,Mass Customer,N,Yes,6,2220,NSW,9
Rowan,Summerly,Male,45-54,Below 10,Cat_1,Librarian,Entertainment,Mass Customer,N,No,9,2209,NSW,10
Ian,Rabat,Male,45-54,51-60,Cat_2,Web Designer I,Financial Services,Affluent Customer,N,No,11,3204,VIC,11
Reginald,Jermy,Male,55-64,Below 10,Cat_2,Director of Sales,Financial Services,High Net Worth,N,Yes,20,4128,QLD,8
Link,Gorini,Male,45-54,51-60,Cat_2,Business Systems Development Analyst,IT,High Net Worth,N,No,10,4600,QLD,2
Harriet,Brattan,Female,35-44,81-90,Cat_1,Human Resources Assistant I,Financial Services,High Net Worth,N,No,2,3579,VIC,1
Sada,Branton,Female,45-54,31-40,Cat_2,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,14,3199,VIC,6
Jenelle,Mc-Kerley,Female,Above 64,31-40,Cat_2,Data Coordiator,Financial Services,Mass Customer,N,Yes,16,4068,QLD,5
Gabrila,Toopin,Female,55-64,Below 10,Cat_1,Junior Executive,Manufacturing,Mass Customer,N,No,12,2456,NSW,6
Almira,Mangion,Female,25-34,Below 10,Cat_1,VP Product Management,Financial Services,Affluent Customer,N,Yes,2,2230,NSW,12
Arty,Strudwick,Male,55-64,81-90,Cat_1,Data Coordiator,Health,Mass Customer,N,Yes,8,2211,NSW,10
Alexa,Dillet,Female,Above 64,61-70,Cat_1,Product Engineer,Entertainment,Affluent Customer,N,No,17,2261,NSW,7
Palmer,Heaven,Male,25-34,81-90,Cat_2,Staff Scientist,Financial Services,Affluent Customer,N,Yes,9,3754,VIC,6
Porter,Buckenhill,Male,Above 64,41-50,Cat_2,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,9,4124,QLD,7
Kizzee,Kemston,Female,55-64,11-20,Cat_1,Social Worker,Health,Mass Customer,N,No,13,2767,NSW,8
Isadora,Ducker,Female,45-54,11-20,Cat_2,Account Executive,Manufacturing,Affluent Customer,N,Yes,8,3153,VIC,5
Giffie,Offill,Male,25-34,51-60,Cat_2,Structural Engineer,Telecommunications,Affluent Customer,N,No,5,4740,QLD,3
Fara,Sarath,Female,Above 64,71-80,Cat_1,Quality Control Specialist,Manufacturing,Mass Customer,N,No,22,2168,NSW,7
Carolann,Raatz,Female,35-44,21-30,Cat_2,Chief Design Engineer,Manufacturing,High Net Worth,N,No,21,3977,VIC,6
Tamar,Windmill,Female,Above 64,Above 90,Cat_1,Senior Editor,Manufacturing,Affluent Customer,N,No,10,2207,NSW,10
Kipp,Stockport,Male,35-44,31-40,Cat_1,Data Coordiator,Retail,Mass Customer,N,Yes,6,2022,NSW,11
Packston,Wackett,Male,Above 64,Below 10,Cat_2,Quality Engineer,Financial Services,Mass Customer,N,No,19,3192,VIC,9
Hanson,Eastes,Male,25-34,71-80,Cat_2,Chemical Engineer,Manufacturing,Mass Customer,N,Yes,5,3056,VIC,9
Demetria,Bausor,Female,55-64,71-80,Cat_1,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,9,2097,NSW,12
Lura,Fawdrie,Female,18-24,61-70,Cat_2,VP Sales,Health,Mass Customer,N,Yes,4,4211,QLD,3
Nora,Anselm,Female,55-64,81-90,Cat_2,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,15,4342,QLD,5
Estevan,Eastment,Male,Above 64,51-60,Cat_1,Environmental Specialist,Health,Mass Customer,N,Yes,21,2019,NSW,8
Aloysius,Glowacz,Male,35-44,71-80,Cat_1,Financial Advisor,Financial Services,Affluent Customer,N,No,18,2232,NSW,10
Bastien,Ibbeson,Male,45-54,51-60,Cat_1,Software Consultant,IT,Mass Customer,N,No,12,2487,NSW,5
Otha,Langworthy,Female,55-64,Above 90,Cat_2,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,13,3130,VIC,10
Gannie,Bargh,Male,Above 64,51-60,Cat_2,Analyst Programmer,Financial Services,Mass Customer,N,Yes,13,3201,VIC,7
Dwayne,Doel,Male,45-54,71-80,Cat_1,Cost Accountant,Financial Services,Affluent Customer,N,Yes,17,2223,NSW,11
Leese,Huckleby,Female,45-54,61-70,Cat_2,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,16,3777,VIC,7
Dodi,Kiggel,Female,35-44,Below 10,Cat_1,Cost Accountant,Financial Services,Mass Customer,N,Yes,13,2114,NSW,11
Kippar,Brimilcome,Male,Above 64,21-30,Cat_1,Graphic Designer,Health,Mass Customer,N,No,19,2089,NSW,11
Corinna,Beretta,Female,25-34,21-30,Cat_2,Programmer III,Health,High Net Worth,N,No,12,3023,VIC,7
Laurie,Odlin,Female,35-44,71-80,Cat_2,Social Worker,Health,High Net Worth,N,No,10,3194,VIC,10
Mair,Erett,Female,Above 64,11-20,Cat_1,Speech Pathologist,Manufacturing,Affluent Customer,N,No,18,2117,NSW,7
Tanner,Terlinden,Male,25-34,81-90,Cat_2,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,3106,VIC,11
Hilliard,Dullard,Male,Above 64,61-70,Cat_1,Civil Engineer,Manufacturing,Mass Customer,N,No,17,2163,NSW,8
Justinn,Haruard,Female,55-64,41-50,Cat_1,Health Coach IV,Health,High Net Worth,N,No,11,2035,NSW,12
Wyn,Meach,Male,Above 64,31-40,Cat_1,Chemical Engineer,Manufacturing,Mass Customer,N,No,9,2765,NSW,9
Art,Shardlow,Male,55-64,51-60,Cat_2,Data Coordiator,Argiculture,Mass Customer,N,Yes,15,4350,QLD,2
Dennis,Varnham,Male,Above 64,51-60,Cat_2,Assistant Media Planner,Entertainment,Affluent Customer,N,No,17,3350,VIC,3
Freddi,Litherborough,Female,25-34,41-50,Cat_1,Product Engineer,Financial Services,Mass Customer,N,No,7,2460,NSW,3
Salomon,Perkins,Male,25-34,71-80,Cat_1,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,2009,NSW,10
Sherill,,Female,25-34,31-40,Cat_1,Information Systems Manager,Financial Services,Mass Customer,N,No,3,2880,NSW,1
Queenie,Learie,Female,Above 64,81-90,Cat_1,Account Coordinator,Property,Mass Customer,N,No,12,2073,NSW,11
Etan,Prinett,Male,45-54,Above 90,Cat_1,Operator,Argiculture,Mass Customer,N,Yes,10,2250,NSW,8
Donaugh,Benedict,Male,25-34,Below 10,Cat_1,Systems Administrator III,Property,Mass Customer,N,No,12,2233,NSW,9
Harwell,Kleinstein,Male,25-34,81-90,Cat_2,Sales Representative,Retail,Affluent Customer,N,No,15,3818,VIC,5
Cheston,Hritzko,Male,Above 64,61-70,Cat_1,Software Engineer III,Manufacturing,Mass Customer,N,Yes,19,2127,NSW,9
Suzy,Trounson,Female,Above 64,11-20,Cat_2,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,20,4152,QLD,9
Jobie,Runacres,Female,45-54,Above 90,Cat_1,Developer IV,Health,Mass Customer,N,Yes,18,2528,NSW,7
Guenna,Filisov,Female,45-54,51-60,Cat_1,Chemical Engineer,Manufacturing,High Net Worth,N,No,13,2154,NSW,9
Opal,Cleare,Female,45-54,Below 10,Cat_1,Database Administrator II,Property,Affluent Customer,N,Yes,20,2066,NSW,9
Ottilie,Wanless,Female,Above 64,51-60,Cat_1,Environmental Specialist,Manufacturing,Affluent Customer,N,No,8,2720,NSW,4
Kipper,Circuit,Male,45-54,21-30,Cat_1,Research Assistant IV,Argiculture,Mass Customer,N,Yes,4,2140,NSW,8
Marilin,Frome,Female,45-54,51-60,Cat_1,Account Executive,IT,Mass Customer,N,Yes,17,2219,NSW,9
Arel,Abramovitz,Male,Above 64,71-80,Cat_2,Nurse Practicioner,Health,Mass Customer,N,No,16,4650,QLD,4
Kit,Easdon,Male,35-44,61-70,Cat_2,Director of Sales,Property,Affluent Customer,N,No,12,3156,VIC,8
Skipp,Swales,Male,45-54,11-20,Cat_2,Community Outreach Specialist,Entertainment,High Net Worth,N,Yes,22,3029,VIC,7
Frederich,Glantz,Male,25-34,31-40,Cat_1,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,10,2762,NSW,8
Rodolph,Denniss,Male,45-54,21-30,Cat_2,Geologist III,Property,Affluent Customer,N,Yes,7,3356,VIC,2
Craggie,Dering,Male,Above 64,41-50,Cat_1,Actuary,Financial Services,Mass Customer,N,No,7,2125,NSW,10
Giralda,MacPeake,Female,Above 64,51-60,Cat_1,Librarian,Entertainment,High Net Worth,N,Yes,14,2705,NSW,1
Rodney,Trethewey,Male,25-34,11-20,Cat_2,Software Consultant,Financial Services,Affluent Customer,N,No,15,3030,VIC,8
Theresina,,Female,35-44,21-30,Cat_1,General Manager,Argiculture,Mass Customer,N,Yes,14,2650,NSW,2
Gleda,Howerd,Female,55-64,51-60,Cat_1,Senior Developer,IT,Mass Customer,N,No,6,2440,NSW,2
Melany,Ladewig,Female,45-54,71-80,Cat_2,Research Associate,Financial Services,Mass Customer,N,Yes,10,4130,QLD,7
Claudell,Rounsefell,Male,25-34,61-70,Cat_2,VP Sales,Financial Services,Affluent Customer,N,No,8,4217,QLD,5
Garwin,Nurden,Male,55-64,51-60,Cat_2,Programmer I,Property,High Net Worth,N,Yes,5,3142,VIC,11
